price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,age,km_per_year
59000,166666,"Normal wear & tear, a few issues",Perfect inside and out,Owner,Coupe,6.0,Automatic Transmission,North American Specs,350.0,Gasoline,Left Hand Side,2015.0,Yellow, Ras Al Khaimah,Standard V6,ford,mustang,11.0,15151.454545454546
166000,78000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2017.0,Black, Dubai,CLS 400,mercedes-benz,cls-class,9.0,8666.666666666666
150000,30000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2020.0,White, Dubai,S 4WD,mini,countryman,6.0,5000.0
265000,49115,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2019.0,Blue, Dubai,Other,maserati,levante,7.0,7016.428571428572
110000,7600,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2021.0,Burgundy, Sharjah,Standard,nissan,rogue,5.0,1520.0
28900,115000,Perfect inside and out,Perfect inside and out,Owner,Hard Top Convertible,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2006.0,Red, Dubai,SLK 200 Kompressor,mercedes-benz,slk-class,20.0,5750.0
145000,18000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2020.0,Blue, Dubai,C300 Luxury,mercedes-benz,c-class,6.0,3000.0
99000,31000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Standard,alfa-romeo,giulia,8.0,3875.0
289000,500,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2021.0,White, Dubai,LE Titanium,nissan,patrol,5.0,100.0
98000,200000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,White, Abu Dhabi,SE,nissan,patrol,12.0,16666.666666666668
65000,133000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2013.0,Blue, Dubai,GT,ford,mustang,13.0,10230.76923076923
47000,173000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2016.0,White, Dubai,LX,honda,accord,10.0,17300.0
71000,152076,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2014.0,Black, Dubai,Premium,cadillac,escalade,12.0,12673.0
118000,22000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2020.0,Red, Dubai,Touring,honda,cr-v,6.0,3666.6666666666665
199000,64500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2008.0,Gold, Dubai,Other,aston-martin,db9,18.0,3583.3333333333335
32000,119224,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Other,nissan,sentra,8.0,14903.0
27000,200000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,Other,250.0,Gasoline,Left Hand Side,2016.0,Black, Dubai,Other,nissan,altima,10.0,20000.0
169000,134000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2017.0,White, Dubai,Standard,porsche,cayenne,9.0,14888.888888888889
125000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6.0,Manual Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,toyota,land-cruiser,5.0,0.0
149000,94582,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,White, Abu Dhabi,VXR,toyota,land-cruiser,11.0,8598.363636363636
209000,59000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2017.0,Grey, Dubai,3.0L,maserati,levante,9.0,6555.555555555556
125000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4.0,Manual Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,toyota,land-cruiser-76-series,5.0,0.0
145000,51000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2019.0,Grey, Dubai,A 250,mercedes-benz,a-class,7.0,7285.714285714285
350000,500,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8.0,Manual Transmission,Other,250.0,Gasoline,Left Hand Side,1960.0,Black, Dubai,Other,chevrolet,corvette,66.0,7.575757575757576
